estab_id,cnpj,razao_social,cnae_original,setor,atividade,regra,fonte,evidencia
53739,31008318000495,GUERRA IMPLEMENTOS RODOVIARIOS S/A,29301,Automotivo,Carrocerias e reboques,cnae_3:293,CNAE declarada no Portal da Transparência,29301
53740,31008556000158,EL EXQUISITO - COCINA ESPANHOLA BAR E RESTAURANTE LTDA,56112,"Turismo, Hotelaria e Alimentação",Restaurantes e alimentação,cnae_3:561,CNAE declarada no Portal da Transparência,56112
53741,31011475000107,WATTS COMERCIO DE PATINETES ELETRICOS E DE VEICULOS RECREATIVOS LTDA,00000,Não identificado,Não identificado,sem_cnae,CNAE declarada no Portal da Transparência,00000
53742,31011966000158,MAXI IMPORTACAO E DISTRIBUICAO LTDA,46869,"Madeira, Papel e Celulose",Papel e embalagens,cnae_5:46869,CNAE declarada no Portal da Transparência,46869
53743,31012401000195,POSTO ALDO BARREIRAS LTDA,47318,"Petróleo, Gás e Combustíveis",Combustíveis,cnae_3:473,CNAE declarada no Portal da Transparência,47318
53744,31014642000173,VILA SUICA SERVICOS DE ALIMENTACAO E RECEPCOES LTDA,56201,"Turismo, Hotelaria e Alimentação",Alimentação coletiva e bufês,cnae_3:562,CNAE declarada no Portal da Transparência,56201
53745,31015511000100,AGROVILE COMERCIO DE PRODUTOS AGRICOLAS LTDA,46338,Alimentos e Bebidas,Comércio de alimentos,cnae_3:463,CNAE declarada no Portal da Transparência,46338
53746,31015648000165,FLASH COMERCIO DE COMBUSTIVEIS LTDA,47318,"Petróleo, Gás e Combustíveis",Combustíveis,cnae_3:473,CNAE declarada no Portal da Transparência,47318
53747,31017730000129,PIER 69 LTDA,56112,"Turismo, Hotelaria e Alimentação",Restaurantes e alimentação,cnae_3:561,CNAE declarada no Portal da Transparência,56112
53748,31018721000152,POUSADA VASTO HORIZONTE LTDA,55108,"Turismo, Hotelaria e Alimentação",Hotéis e hospedagem,cnae_3:551,CNAE declarada no Portal da Transparência,55108
53749,31023122000127,HELVETIA DA AMAZONIA LTDA,47890,Comércio Diversificado,Comércio varejista — diversos,cnae_2:47,CNAE declarada no Portal da Transparência,47890
53750,31023302000109,THOR GRANITOS E MARMORES LTDA,68102,Imobiliário,Imobiliário,cnae_2:68,CNAE declarada no Portal da Transparência,68102
53751,31023302000370,THOR GRANITOS E MARMORES LTDA,00000,Não identificado,Não identificado,sem_cnae,CNAE declarada no Portal da Transparência,00000
53752,31023302001261,THOR GRANITOS E MARMORES LTDA,08100,Mineração e Metalurgia,"Mineração de pedra, areia e argila",cnae_3:081,CNAE declarada no Portal da Transparência,08100
53753,31023302001423,THOR GRANITOS E MARMORES LTDA,46796,Materiais de Construção,Materiais de construção,cnae_3:467,CNAE declarada no Portal da Transparência,46796
53754,31023302001504,THOR GRANITOS E MARMORES LTDA,46796,Materiais de Construção,Materiais de construção,cnae_3:467,CNAE declarada no Portal da Transparência,46796
53755,31023302002071,THOR GRANITOS E MARMORES LTDA,00000,Não identificado,Não identificado,sem_cnae,CNAE declarada no Portal da Transparência,00000
53756,31023302003043,THOR GRANITOS E MARMORES LTDA,00000,Não identificado,Não identificado,sem_cnae,CNAE declarada no Portal da Transparência,00000
53757,31023597000113,PONTO GOLDEN SQUARE COMERCIO DE ALIMENTOS LTDA.,56112,"Turismo, Hotelaria e Alimentação",Restaurantes e alimentação,cnae_3:561,CNAE declarada no Portal da Transparência,56112
53758,31024051000187,R. V. ALIMENTACAO LTDA,56112,"Turismo, Hotelaria e Alimentação",Restaurantes e alimentação,cnae_3:561,CNAE declarada no Portal da Transparência,56112
53759,31030918000107,HOTEL ALJI SALTO LTDA,55108,"Turismo, Hotelaria e Alimentação",Hotéis e hospedagem,cnae_3:551,CNAE declarada no Portal da Transparência,55108
53760,31034305000148,CEREALISTA OURO VERDE IMPORTACAO E EXPORTACAO LTDA,10813,Alimentos e Bebidas,Café,cnae_3:108,CNAE declarada no Portal da Transparência,10813
53761,31035276000210,CASA 593 COMERCIO E DESIGN LTDA,74102,Serviços Profissionais,Outros serviços profissionais,cnae_2:74,CNAE declarada no Portal da Transparência,74102
53762,31035833000464,MEGA VEST CASA LTDA,46397,Alimentos e Bebidas,Comércio de alimentos,cnae_3:463,CNAE declarada no Portal da Transparência,46397
53763,31035912000122,ITECSA TECNOLOGIA E SERVICOS SA,62023,Tecnologia da Informação,Tecnologia da informação,cnae_2:62,CNAE declarada no Portal da Transparência,62023
53764,31037402000194,"INSTITUTO INCLUIR: TRANSFORMAR, DEMOCRATIZAR & HUMANIZAR",00000,Não identificado,Não identificado,sem_cnae,CNAE declarada no Portal da Transparência,00000
53765,31039609000106,PITA TRANSWORLD LTDA,49299,Transporte e Logística,Transporte rodoviário de passageiros,cnae_3:492,CNAE declarada no Portal da Transparência,49299
53766,31042484000165,DI LIVROS EDITORA LTDA,46478,"Mídia, Cultura e Entretenimento",Livros e papelaria,cnae_5:46478,CNAE declarada no Portal da Transparência,46478
53767,31043482000190,INOVSAT TELECOM LTDA,46699,Máquinas e Equipamentos,Comércio de máquinas e equipamentos,cnae_3:466,CNAE declarada no Portal da Transparência,46699
53768,31043564000135,RJ CONEXOES PUBLICIDADE LTDA,73122,Serviços Profissionais,Publicidade e pesquisa de mercado,cnae_2:73,CNAE declarada no Portal da Transparência,73122
